Team, Instagram Follower Count (millions), Chips, 2018-19 All Stars, All-NBA players, 2018-19 wins
Warriors, 13, 6, 3, 2, 57
Lakers, 9.7, 16, 1, 1, 37
Clippers, 2.6, 0, 0, 0, 48
Kings, 1.2, 1, 0, 0, 39
Blazers, 1.6, 0, 1, 1, 53 
Mavs, 1.3, 1, 0, 0, 33
Spurs, 2.8, 5, 1, 0, 48
Wolves, 1.6, 0, 1, 0, 36
Pelicans, 1.6, 0, 1, 1, 33
Thunder, 4.6, 1, 2, 2, 49
Jazz, 0.9, 0, 0, 0, 50
Suns, 1.2, 0, 0, 0, 19
Nuggets, 1, 0, 1, 1, 54
Rockets, 4.2, 2, 1, 1, 53
Celtics, 4.5, 17, 1, 1, 49
Bucks, 2.2, 1, 2, 1, 60
Raptors, 2.9, 1, 2, 1, 58
Hawks, 1.1, 1, 0, 0, 29
Knicks, 2.2, 2, 0, 0, 17
Nets, 1.7, 0, 1, 0, 42
Heat, 3.6, 3, 1, 0, 39
Magic, 1, 0, 1, 0, 42
Cavs, 7.3, 1, 0, 0, 19
Pistons, 1, 3, 1, 1, 41
Bulls, 4.7, 6, 0, 0, 22
Sixers, 2.2, 3, 2, 1, 51
Grizzlies, 0.8, 0, 0, 0, 33
Wizards, 1.2, 1, 1, 0, 32
Hornets, 1.1, 0, 1, 1, 39
Pacers, 1.6, 0, 0, 0, 48